id;status;country;availability;min_length;max_length;format;prompt_ua;prompt_en;info_url_ua;info_url_en
1;ACTIVE;;OPTIONAL;2;10;^[0-9A-Z]{1,}[ -]{0,1}[0-9A-Z]{1,}$;Поштовий код, що відповідає адресі в межах вказаної країни. Мінімальна довжина - 2, максимальна довжина - 10 символів. Може містити тільки наступні символи: цифри (0-9), латинськи літери у верхньому регістрі (A-Z), а також пробіл (" ") або дефіс ("-") у якості розділювача частин. Приклади: "2660", "AI-2640", "AZ 4576", "1045 3329", "29690-9812".;A postal code which corresponds to the address withing the specified country. Minimum length - 2, maximum length - 10 characters. It may contain only the following characters: digits (0-9), uppercase Latin letters (A-Z) and a space (" ") or a hyphen ("-") as a part separator. Examples: "2660", "AI-2640", "AZ 4576", "1045 3329", "29690-9812".;;
2;ACTIVE;804;MANDATORY;5;5;^\\d{5}$;Поштовий код, що відповідає адресі в межах України. Формат: 5 цифр. Приклади: "01001", "36015".;A postal code which corresponds to the address withing Ukraine. Format: 5 digits. Examples: "01001", "36015".;https://index.ukrposhta.ua/find-post-index;https://index.ukrposhta.ua/find-post-index
